Adresse,CodePostal
"Chir, Batna",5052
"Ouled Si Slimane, Batna",5053
"Zanat El Beida, Batna",5054
"Amdoukal, Batna",5055
"Ouled Ammar, Batna",5056
"El Hassi, Batna",5057
"Lazrou, Batna",5058
"Boumia, Batna",5059
"Boulhilat, Batna",5060
"Larbaa, Batna",5061
"Bejaia, Béjaïa",6001
"Amizour, Béjaïa",6002
"Ferraoun, Béjaïa",6003
"Taourirt Ighil, Béjaïa",6004
"Chelata, Béjaïa",6005
"Tamokra, Béjaïa",6006
"Timzrit, Béjaïa",6007
"Souk El Thenine, Béjaïa",6008
"Mcisna, Béjaïa",6009
"Thinabdher, Béjaïa",6010
"Tichi, Béjaïa",6011
"Semaoun, Béjaïa",6012
"Kendira, Béjaïa",6013
"Tifra, Béjaïa",6014
"Ighram, Béjaïa",6015
"Amalou, Béjaïa",6016
"Ighil Ali, Béjaïa",6017
"Ifelain Ilmathen, Béjaïa",6018
"Toudja, Béjaïa",6019
"Darguina, Béjaïa",6020
"Sidi Ayad, Béjaïa",6021
"Aokas, Béjaïa",6022
"Beni Djellil, Béjaïa",6023
"Adekar, Béjaïa",6024
"Akbou, Béjaïa",6025
"Seddouk, Béjaïa",6026
"Tazmalt, Béjaïa",6027
"Ait Rizine, Béjaïa",6028
"Chemini, Béjaïa",6029
"Souk Oufella, Béjaïa",6030
"Taskriout, Béjaïa",6031
"Tibane, Béjaïa",6032
"Tala Hamza, Béjaïa",6033
"Barbacha, Béjaïa",6034
"Beni Ksila, Béjaïa",6035
"Ouzallaguen, Béjaïa",6036
"Bouhamza, Béjaïa",6037
"Beni Melikeche, Béjaïa",6038
"Sidi Aich, Béjaïa",6039
"El Kseur, Béjaïa",6040
"Melbou, Béjaïa",6041
"Akfadou, Béjaïa",6042
"Leflaye, Béjaïa",6043
"Kherrata, Béjaïa",6044
"Draa Kaid, Béjaïa",6045
"Tamridjet, Béjaïa",6046
"Ait Smail, Béjaïa",6047
"Boukhelifa, Béjaïa",6048
"Tizi Nberber, Béjaïa",6049
"Beni Maouch, Béjaïa",6050
"Oued Ghir, Béjaïa",6051
"Boudjellil, Béjaïa",6052
"Biskra, Biskra",7001
"Oumache, Biskra",7002
"Branis, Biskra",7003
"Chetma, Biskra",7004
"Ouled Djellal, Biskra",7005
"Ras El Miaad, Biskra",7006
"Besbes, Biskra",7007
"Sidi Khaled, Biskra",7008
"Doucen, Biskra",7009
"Ech Chaiba, Biskra",7010
"Sidi Okba, Biskra",7011
"Mchouneche, Biskra",7012
"El Haouch, Biskra",7013
"Ain Naga, Biskra",7014
"Zeribet El Oued, Biskra",7015
"El Feidh, Biskra",7016
"El Kantara, Biskra",7017
"Ain Zaatout, Biskra",7018
"El Outaya, Biskra",7019
"Djemorah, Biskra",7020
"Tolga, Biskra",7021
"Lioua, Biskra",7022
"Lichana, Biskra",7023
"Ourlal, Biskra",7024
"Mlili, Biskra",7025
"Foughala, Biskra",7026
"Bordj Ben Azzouz, Biskra",7027
"Meziraa, Biskra",7028
"Bouchagroun, Biskra",7029
"Mekhadma, Biskra",7030
"El Ghrous, Biskra",7031
"El Hadjab, Biskra",7032
"Khanguet Sidinadji, Biskra",7033
"Bechar, Béchar",8001
"Erg Ferradj, Béchar",8002
"Ouled Khoudir, Béchar",8003
"Meridja, Béchar",8004
"Timoudi, Béchar",8005
"Lahmar, Béchar",8006
"Beni Abbes, Béchar",8007
"Beni Ikhlef, Béchar",8008
"Mechraa Houari B, Béchar",8009
"Kenedsa, Béchar",8010
"Igli, Béchar",8011
"Tabalbala, Béchar",8012
"Taghit, Béchar",8013
"El Ouata, Béchar",8014
"Boukais, Béchar",8015
"Mogheul, Béchar",8016
"Abadla, Béchar",8017
"Kerzaz, Béchar",8018
"Ksabi, Béchar",8019
"Tamtert, Béchar",8020
"Beni Ounif, Béchar",8021
"Blida, Blida",9001
"Chebli, Blida",9002
"Bouinan, Blida",9003
"Oued El Alleug, Blida",9004
"Ouled Yaich, Blida",9007
"Chrea, Blida",9008
"El Affroun, Blida",9010
"Chiffa, Blida",9011
"Hammam Melouane, Blida",9012
"Ben Khlil, Blida",9013
"Soumaa, Blida",9014
"Mouzaia, Blida",9016
"Souhane, Blida",9017
"Meftah, Blida",9018
"Ouled Selama, Blida",9019
"Boufarik, Blida",9020
"Larbaa, Blida",9021
"Oued Djer, Blida",9022
"Beni Tamou, Blida",9023
"Bouarfa, Blida",9024
"Beni Mered, Blida",9025
"Bougara, Blida",9026
"Guerrouaou, Blida",9027
"Ain Romana, Blida",9028
"Djebabra, Blida",9029
"Bouira, Bouira",10001
"El Asnam, Bouira",10002
"Guerrouma, Bouira",10003
"Souk El Khemis, Bouira",10004
"Kadiria, Bouira",10005
"Hanif, Bouira",10006
"Dirah, Bouira",10007
"Ait Laaziz, Bouira",10008
"Taghzout, Bouira",10009
"Raouraoua, Bouira",10010
"Mezdour, Bouira",10011
"Haizer, Bouira",10012
"Lakhdaria, Bouira",10013
"Maala, Bouira",10014
"El Hachimia, Bouira",10015
"Aomar, Bouira",10016
"Chorfa, Bouira",10017
"Bordj Oukhriss, Bouira",10018
"El Adjiba, Bouira",10019
"El Hakimia, Bouira",10020
"El Khebouzia, Bouira",10021
"Ahl El Ksar, Bouira",10022
"Bouderbala, Bouira",10023
"Zbarbar, Bouira",10024
"Ain El Hadjar, Bouira",10025
"Djebahia, Bouira",10026
"Aghbalou, Bouira",10027
"Taguedit, Bouira",10028
"Ain Turk, Bouira",10029
"Saharidj, Bouira",10030
"Dechmia, Bouira",10031
"Ridane, Bouira",10032
"Bechloul, Bouira",10033
"Boukram, Bouira",10034
"Ain Bessam, Bouira",10035
"Bir Ghbalou, Bouira",10036
"Mchedallah, Bouira",10037
"Sour El Ghozlane, Bouira",10038
"Maamora, Bouira",10039
"Ouled Rached, Bouira",10040
"Ain Laloui, Bouira",10041
"Hadjera Zerga, Bouira",10042
"Ath Mansour, Bouira",10043
"El Mokrani, Bouira",10044
"Oued El Berdi, Bouira",10045
"Tamanghasset, Tamanrasset",11001
"Abalessa, Tamanrasset",11002
"In Ghar, Tamanrasset",11003
"In Guezzam, Tamanrasset",11004
"Idles, Tamanrasset",11005
"Tazouk, Tamanrasset",11006
"Tinzaouatine, Tamanrasset",11007
"In Salah, Tamanrasset",11008
"In Amguel, Tamanrasset",11009
"Foggaret Ezzaouia, Tamanrasset",11010
"Tebessa, Tébessa",12001
"Bir El Ater, Tébessa",12002
"Cheria, Tébessa",12003
"Stah Guentis, Tébessa",12004
"El Aouinet, Tébessa",12005
"Lahouidjbet, Tébessa",12006
"Safsaf El Ouesra, Tébessa",12007
"Hammamet, Tébessa",12008
"Negrine, Tébessa",12009
"Bir El Mokadem, Tébessa",12010
"El Kouif, Tébessa",12011
"Morsott, Tébessa",12012
"El Ogla, Tébessa",12013
"Bir Dheheb, Tébessa",12014
"El Ogla El Malha, Tébessa",12015
"Gorriguer, Tébessa",12016
"Bekkaria, Tébessa",12017
"Boukhadra, Tébessa",12018
"Ouenza, Tébessa",12019
"El Ma El Biodh, Tébessa",12020
"Oum Ali, Tébessa",12021
"Thlidjene, Tébessa",12022
"Ain Zerga, Tébessa",12023
"El Meridj, Tébessa",12024
"Boulhaf Dyr, Tébessa",12025
"Bedjene, Tébessa",12026
"El Mazeraa, Tébessa",12027
"Ferkane, Tébessa",12028
"Tlemcen, Tlemcen",13001
"Beni Mester, Tlemcen",13002
"Ain Tallout, Tlemcen",13003
"Remchi, Tlemcen",13004
"El Fehoul, Tlemcen",13005
"Sabra, Tlemcen",13006
"Ghazaouet, Tlemcen",13007
"Souani, Tlemcen",13008
"Djebala, Tlemcen",13009
"El Gor, Tlemcen",13010
"Oued Chouly, Tlemcen",13011
"Ain Fezza, Tlemcen",13012
"Ouled Mimoun, Tlemcen",13013
"Amieur, Tlemcen",13014
"Ain Youcef, Tlemcen",13015
"Zenata, Tlemcen",13016
"Beni Snous, Tlemcen",13017
"Bab El Assa, Tlemcen",13018
"Dar Yaghmouracene, Tlemcen",13019
"Fellaoucene, Tlemcen",13020
"Azails, Tlemcen",13021
"Sebbaa Chioukh, Tlemcen",13022
"Terni Beni Hediel, Tlemcen",13023
"Bensekrane, Tlemcen",13024
"Ain Nehala, Tlemcen",13025
"Hennaya, Tlemcen",13026
"Maghnia, Tlemcen",13027
"Hammam Boughrara, Tlemcen",13028
"Souahlia, Tlemcen",13029
"Msirda Fouaga, Tlemcen",13030
"Ain Fetah, Tlemcen",13031
"El Aricha, Tlemcen",13032
"Souk Thlata, Tlemcen",13033
"Sidi Abdelli, Tlemcen",13034
"Sebdou, Tlemcen",13035
"Beni Ouarsous, Tlemcen",13036
"Sidi Medjahed, Tlemcen",13037
"Beni Boussaid, Tlemcen",13038
"Marsa Ben Mhidi, Tlemcen",13039
"Nedroma, Tlemcen",13040
"Sidi Djillali, Tlemcen",13041
"Beni Bahdel, Tlemcen",13042
"El Bouihi, Tlemcen",13043
"Honaine, Tlemcen",13044
"Tianet, Tlemcen",13045
"Ouled Riyah, Tlemcen",13046
"Bouhlou, Tlemcen",13047
"Souk El Khemis, Tlemcen",13048
"Ain Ghoraba, Tlemcen",13049
"Chetouane, Tlemcen",13050
"Mansourah, Tlemcen",13051
"Beni Semiel, Tlemcen",13052
"Ain Kebira, Tlemcen",13053
"Tiaret, Tiaret",14001
"Medroussa, Tiaret",14002
"Ain Bouchekif, Tiaret",14003
"Sidi Ali Mellal, Tiaret",14004
"Ain Zarit, Tiaret",14005
"Ain Deheb, Tiaret",14006
"Sidi Bakhti, Tiaret",14007
"Medrissa, Tiaret",14008
"Zmalet El Emir Aek, Tiaret",14009
"Madna, Tiaret",14010
"Sebt, Tiaret",14011
"Mellakou, Tiaret",14012
"Dahmouni, Tiaret",14013
"Rahouia, Tiaret",14014
"Mahdia, Tiaret",14015
"Sougueur, Tiaret",14016
"Sidi Abdelghani, Tiaret",14017
"Ain El Hadid, Tiaret",14018
"Ouled Djerad, Tiaret",14019
"Naima, Tiaret",14020
"Meghila, Tiaret",14021
"Guertoufa, Tiaret",14022
"Sidi Hosni, Tiaret",14023
"Djillali Ben Amar, Tiaret",14024
"Sebaine, Tiaret",14025
"Tousnina, Tiaret",14026
"Frenda, Tiaret",14027
"Ain Kermes, Tiaret",14028
"Ksar Chellala, Tiaret",14029
"Rechaiga, Tiaret",14030
"Nadorah, Tiaret",14031
"Tagdemt, Tiaret",14032
"Oued Lilli, Tiaret",14033
"Mechraa Safa, Tiaret",14034
"Hamadia, Tiaret",14035
"Chehaima, Tiaret",14036
"Takhemaret, Tiaret",14037
"Sidi Abderrahmane, Tiaret",14038
"Serghine, Tiaret",14039
"Bougara, Tiaret",14040
"Faidja, Tiaret",14041
"Tidda, Tiaret",14042
"Tizi Ouzou, Tizi Ouzou",15001
"Ain El Hammam, Tizi Ouzou",15002
"Akbil, Tizi Ouzou",15003
"Freha, Tizi Ouzou",15004
"Souamaa, Tizi Ouzou",15005
"Mechtrass, Tizi Ouzou",15006
"Irdjen, Tizi Ouzou",15007
"Timizart, Tizi Ouzou",15008
"Makouda, Tizi Ouzou",15009
"Draa El Mizan, Tizi Ouzou",15010
"Tizi Ghenif, Tizi Ouzou",15011
"Bounouh, Tizi Ouzou",15012
"Ait Chaffaa, Tizi Ouzou",15013
"Frikat, Tizi Ouzou",15014
"Beni Aissi, Tizi Ouzou",15015
"Beni Zmenzer, Tizi Ouzou",15016
"Iferhounene, Tizi Ouzou",15017
"Azazga, Tizi Ouzou",15018
"Iloula Oumalou, Tizi Ouzou",15019
"Yakouren, Tizi Ouzou",15020
"Larba Nait Irathen, Tizi Ouzou",15021
"Tizi Rached, Tizi Ouzou",15022
"Zekri, Tizi Ouzou",15023
"Ouaguenoun, Tizi Ouzou",15024
"Ain Zaouia, Tizi Ouzou",15025
"Mkira, Tizi Ouzou",15026
"Ait Yahia, Tizi Ouzou",15027
"Ait Mahmoud, Tizi Ouzou",15028
"Maatka, Tizi Ouzou",15029
"Ait Boumehdi, Tizi Ouzou",15030
"Abi Youcef, Tizi Ouzou",15031
"Beni Douala, Tizi Ouzou",15032
"Illilten, Tizi Ouzou",15033
"Bouzguen, Tizi Ouzou",15034
"Ait Aggouacha, Tizi Ouzou",15035
"Ouadhia, Tizi Ouzou",15036
"Azzefoun, Tizi Ouzou",15037
"Tigzirt, Tizi Ouzou",15038
"Ait Aissa Mimoun, Tizi Ouzou",15039
"Boghni, Tizi Ouzou",15040
"Ifigha, Tizi Ouzou",15041
"Ait Oumalou, Tizi Ouzou",15042
"Tirmitine, Tizi Ouzou",15043
"Akerrou, Tizi Ouzou",15044
"Yatafen, Tizi Ouzou",15045
"Beni Ziki, Tizi Ouzou",15046
"Draa Ben Khedda, Tizi Ouzou",15047
"Ouacif, Tizi Ouzou",15048
"Idjeur, Tizi Ouzou",15049
"Mekla, Tizi Ouzou",15050
"Tizi Nthlata, Tizi Ouzou",15051
"Beni Yenni, Tizi Ouzou",15052
"Aghrib, Tizi Ouzou",15053
"Iflissen, Tizi Ouzou",15054
"Boudjima, Tizi Ouzou",15055
"Ait Yahia Moussa, Tizi Ouzou",15056
"Souk El Thenine, Tizi Ouzou",15057
"Ait Khelil, Tizi Ouzou",15058
"Sidi Naamane, Tizi Ouzou",15059
"Iboudraren, Tizi Ouzou",15060
"Aghni Goughran, Tizi Ouzou",15061
"Mizrana, Tizi Ouzou",15062
"Imsouhal, Tizi Ouzou",15063
"Tadmait, Tizi Ouzou",15064
"Ait Bouadou, Tizi Ouzou",15065
"Assi Youcef, Tizi Ouzou",15066
"Ait Toudert, Tizi Ouzou",15067
"Alger Centre, Alger",16001
"Sidi Mhamed, Alger",16002
"El Madania, Alger",16003
"Hamma Anassers, Alger",16004
"Bab El Oued, Alger",16005
"Bologhine Ibn Ziri, Alger",16006
"Casbah, Alger",16007
"Oued Koriche, Alger",16008
"Bir Mourad Rais, Alger",16009
"El Biar, Alger",16010
"Bouzareah, Alger",16011
"Birkhadem, Alger",16012
"El Harrach, Alger",16013
"Baraki, Alger",16014
"Oued Smar, Alger",16015
"Bourouba, Alger",16016
"Hussein Dey, Alger",16017
"Kouba, Alger",16018
"Bachedjerah, Alger",16019
"Dar El Beida, Alger",16020
"Bab Azzouar, Alger",16021
"Ben Aknoun, Alger",16022
"Dely Ibrahim, Alger",16023
"Bains Romains, Alger",16024
"Rais Hamidou, Alger",16025
"Djasr Kasentina, Alger",16026
"El Mouradia, Alger",16027
"Hydra, Alger",16028
"Mohammadia, Alger",16029
"Bordj El Kiffan, Alger",16030
"El Magharia, Alger",16031
"Beni Messous, Alger",16032
"Les Eucalyptus, Alger",16033
"Birtouta, Alger",16034
"Tassala El Merdja, Alger",16035
"Ouled Chebel, Alger",16036
"Sidi Moussa, Alger",16037
"Ain Taya, Alger",16038
"Bordj El Bahri, Alger",16039
"Marsa, Alger",16040
"Haraoua, Alger",16041
"Rouiba, Alger",16042
"Reghaia, Alger",16043
"Ain Benian, Alger",16044
"Staoueli, Alger",16045
"Zeralda, Alger",16046
"Mahelma, Alger",16047
"Rahmania, Alger",16048
"Souidania, Alger",16049
"Cheraga, Alger",16050
"Ouled Fayet, Alger",16051
"El Achour, Alger",16052
"Draria, Alger",16053
"Douera, Alger",16054
"Baba Hassen, Alger",16055
"Khracia, Alger",16056
"Saoula, Alger",16057
"Djelfa, Djelfa",17001
"Moudjebara, Djelfa",17002
"El Guedid, Djelfa",17003
"Hassi Bahbah, Djelfa",17004
"Ain Maabed, Djelfa",17005
"Sed Rahal, Djelfa",17006
"Feidh El Botma, Djelfa",17007
"Birine, Djelfa",17008
"Bouira Lahdeb, Djelfa",17009
"Zaccar, Djelfa",17010
"El Khemis, Djelfa",17011
"Sidi Baizid, Djelfa",17012
"Mliliha, Djelfa",17013
"El Idrissia, Djelfa",17014
"Douis, Djelfa",17015
"Hassi El Euch, Djelfa",17016
"Messaad, Djelfa",17017
"Guettara, Djelfa",17018
"Sidi Ladjel, Djelfa",17019
"Had Sahary, Djelfa",17020
"Guernini, Djelfa",17021
"Selmana, Djelfa",17022
"Ain Chouhada, Djelfa",17023
"Oum Laadham, Djelfa",17024
"Dar Chouikh, Djelfa",17025
"Charef, Djelfa",17026
"Beni Yacoub, Djelfa",17027
"Zaafrane, Djelfa",17028
"Deldoul, Djelfa",17029
"Ain El Ibel, Djelfa",17030
"Ain Oussera, Djelfa",17031
"Benhar, Djelfa",17032
"Hassi Fedoul, Djelfa",17033
"Amourah, Djelfa",17034
"Ain Fekka, Djelfa",17035
"Tadmit, Djelfa",17036
"Jijel, Jijel",18001
"Erraguene, Jijel",18002
"El Aouana, Jijel",18003
"Ziamma Mansouriah, Jijel",18004
"Taher, Jijel",18005
"Emir Abdelkader, Jijel",18006
"Chekfa, Jijel",18007
"Chahna, Jijel",18008
"El Milia, Jijel",18009
"Sidi Maarouf, Jijel",18010
"Settara, Jijel",18011
"El Ancer, Jijel",18012
"Sidi Abdelaziz, Jijel",18013
"Kaous, Jijel",18014
"Ghebala, Jijel",18015
"Bouraoui Belhadef, Jijel",18016
"Djmila, Jijel",18017
"Selma Benziada, Jijel",18018
"Boussif Ouled Askeur, Jijel",18019
"El Kennar Nouchfi, Jijel",18020
"Ouled Yahia Khadrouch, Jijel",18021
"Boudria Beni Yadjis, Jijel",18022
"Kemir Oued Adjoul, Jijel",18023
"Texena, Jijel",18024
"Djemaa Beni Habibi, Jijel",18025
"Bordj Taher, Jijel",18026
"Ouled Rabah, Jijel",18027
"Ouadjana, Jijel",18028
"Setif, Sétif",19001
"Ain El Kebira, Sétif",19002
"Beni Aziz, Sétif",19003
"Ouled Sidi Ahmed, Sétif",19004
"Boutaleb, Sétif",19005
"Ain Roua, Sétif",19006
"Draa Kebila, Sétif",19007
"Bir El Arch, Sétif",19008
"Beni Chebana, Sétif",19009
"Ouled Tebben, Sétif",19010
"Hamma, Sétif",19011
"Maaouia, Sétif",19012
"Ain Legraj, Sétif",19013
"Ain Abessa, Sétif",19014
"Dehamcha, Sétif",19015
"Babor, Sétif",19016
"Guidjel, Sétif",19017
"Ain Lahdjar, Sétif",19018
"Bousselam, Sétif",19019
"El Eulma, Sétif",19020
"Djemila, Sétif",19021
"Beni Ouartilane, Sétif",19022
"Rosfa, Sétif",19023
"Ouled Addouane, Sétif",19024
"Belaa, Sétif",19025
"Ain Arnat, Sétif",19026
"Amoucha, Sétif",19027
"Ain Oulmane, Sétif",19028
"Beidha Bordj, Sétif",19029
"Bouandas, Sétif",19030
"Bazer Sakhra, Sétif",19031
"Hammam Essokhna, Sétif",19032
"Mezloug, Sétif",19033
"Bir Haddada, Sétif",19034
"Serdj El Ghoul, Sétif",19035
"Harbil, Sétif",19036
"El Ouricia, Sétif",19037
"Tizi Nbechar, Sétif",19038
"Salah Bey, Sétif",19039
"Ain Azal, Sétif",19040
"Guenzet, Sétif",19041
"Talaifacene, Sétif",19042
"Bougaa, Sétif",19043
"Beni Fouda, Sétif",19044
"Tachouda, Sétif",19045
"Beni Mouhli, Sétif",19046
"Ouled Sabor, Sétif",19047
"Guellal, Sétif",19048
"Ain Sebt, Sétif",19049
"Hammam Guergour, Sétif",19050
"Ait Naoual Mezada, Sétif",19051
"Ksar El Abtal, Sétif",19052
"Beni Hocine, Sétif",19053
"Ait Tizi, Sétif",19054
"Maouklane, Sétif",19055
"Guelta Zerka, Sétif",19056
"Oued El Barad, Sétif",19057
"Taya, Sétif",19058
"El Ouldja, Sétif",19059
"Tella, Sétif",19060
"Saida, Saïda",20001
"Doui Thabet, Saïda",20002
"Ain El Hadjar, Saïda",20003
"Ouled Khaled, Saïda",20004
"Moulay Larbi, Saïda",20005
"Youb, Saïda",20006
"Hounet, Saïda",20007
"Sidi Amar, Saïda",20008
"Sidi Boubekeur, Saïda",20009
"El Hassasna, Saïda",20010
"Maamora, Saïda",20011
"Sidi Ahmed, Saïda",20012
"Ain Sekhouna, Saïda",20013
"Ouled Brahim, Saïda",20014
"Tircine, Saïda",20015
"Ain Soltane, Saïda",20016
"Skikda, Skikda",21001
"Ain Zouit, Skikda",21002
"El Hadaik, Skikda",21003
"Azzaba, Skikda",21004
"Djendel Saadi Mohamed, Skikda",21005
"Ain Cherchar, Skikda",21006
"Bekkouche Lakhdar, Skikda",21007
"Benazouz, Skikda",21008
"Es Sebt, Skikda",21009
"Collo, Skikda",21010
"Beni Zid, Skikda",21011
"Kerkera, Skikda",21012
"Ouled Attia, Skikda",21013
"Oued Zehour, Skikda",21014
"Zitouna, Skikda",21015
"El Harrouch, Skikda",21016
"Zerdazas, Skikda",21017
"Ouled Hebaba, Skikda",21018
"Sidi Mezghiche, Skikda",21019
"Emdjez Edchich, Skikda",21020
"Beni Oulbane, Skikda",21021
"Ain Bouziane, Skikda",21022
"Ramdane Djamel, Skikda",21023
"Beni Bachir, Skikda",21024
"Salah Bouchaour, Skikda",21025
"Tamalous, Skikda",21026
"Ain Kechra, Skikda",21027
"Oum Toub, Skikda",21028
"Bein El Ouiden, Skikda",21029
"Fil Fila, Skikda",21030
"Cheraia, Skikda",21031
"Kanoua, Skikda",21032
"El Ghedir, Skikda",21033
"Bouchtata, Skikda",21034
"Ouldja Boulbalout, Skikda",21035
"Kheneg Mayoum, Skikda",21036
"Hamadi Krouma, Skikda",21037
"El Marsa, Skikda",21038
"Sidi Bel Abbes, Sidi Bel Abbès",22001
"Tessala, Sidi Bel Abbès",22002
"Sidi Brahim, Sidi Bel Abbès",22003
"Mostefa Ben Brahim, Sidi Bel Abbès",22004
"Telagh, Sidi Bel Abbès",22005
"Mezaourou, Sidi Bel Abbès",22006
"Boukhanafis, Sidi Bel Abbès",22007
"Sidi Ali Boussidi, Sidi Bel Abbès",22008
"Badredine El Mokrani, Sidi Bel Abbès",22009
"Marhoum, Sidi Bel Abbès",22010
"Tafissour, Sidi Bel Abbès",22011
"Amarnas, Sidi Bel Abbès",22012
"Tilmouni, Sidi Bel Abbès",22013
"Sidi Lahcene, Sidi Bel Abbès",22014
"Ain Thrid, Sidi Bel Abbès",22015
"Makedra, Sidi Bel Abbès",22016
"Tenira, Sidi Bel Abbès",22017
